"id","name","code","user_type_id/id","chart_template_id/id","currency_id/id","reconcile"
"cuenta101110","Cajas","101110","account.data_account_type_liquidity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10111001","Cajas Moneda Nacional","10111001","account.data_account_type_liquidity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10111002","Cajas Moneda Extranjera","10111002","account.data_account_type_liquidity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10111003","Fondos Fijos","10111003","account.data_account_type_liquidity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10111004","Caja Compensatoria","10111004","account.data_account_type_liquidity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta101120","Bancos","101120","account.data_account_type_liquidity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10112001","Bancos MN","10112001","account.data_account_type_liquidity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10112002","Bancos ME","10112002","account.data_account_type_liquidity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta101130","Depositos Plazo Fijo","101130","account.data_account_type_liquidity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10113001","Deposito a Plazo fijo MN","10113001","account.data_account_type_liquidity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10113002","Deposito a Plazo fijo ME","10113002","account.data_account_type_liquidity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta101210","cuentas Por Cobrar Clientes","101210","account.data_account_type_receivable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta10121001","cuentas Corrientes Clientes","10121001","account.data_account_type_receivable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta10121002","Deudores Morosos","10121002","account.data_account_type_receivable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta10121003","Prevision Deudores Incobrables","10121003","account.data_account_type_receivable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta101220","cuentas Por Cobrar Socios","101220","account.data_account_type_receivable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta10122001","Anticipos a Directores","10122001","account.data_account_type_receivable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta101230","cuentas por Cobrar al Personal","101230","account.data_account_type_receivable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta10123001","Anticipos de Sueldo","10123001","account.data_account_type_receivable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta10123002","cuentas con cargo a Rendir","10123002","account.data_account_type_receivable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta10123003","Prestamos al Personal","10123003","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta10123004","Anticipo Beneficios Sociales","10123004","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta101240","Otras "cuentas Por cobrar","101240","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta10124001","Anticipo Comisiones","10124001","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10124002","Anticipo a Proveedores","10124002","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10124003","Depositos en garantia","10124003","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10124004","Garantia Cumplimiento de Contrato","10124004","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10124005","Anticipo Agencias Despachantes de Aduana","10124005","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10124006","Anticipo Fletes Transportistas","10124006","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10124007","Facturas Por Recibir","10124007","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta101250","Impuestos Anticipados","101250","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10125001","IUE por compensar","10125001","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta101260","Creditos por IVA","101260","account.data_account_type_receivable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta10126001","Credito Fiscal IVA 13%","10126001","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta10126002","Provision Credito Fiscal","10126002","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta101310","Inventarios","101310","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10131001","Bienes de Cambio","10131001","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10131002","Bienes en Transito","10131002","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta101320","Provision de Inventarios por Obsolecencia","101320","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10132001","Provision Obsolecencia y/o deterioro de Inventarios","10132001","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta101330","Inventarios en Transito","101330","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10133001","Mercaderias en Transito","10133001","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta102110","Bienes de Uso","102110","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10211001","Terrenos","10211001","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10211002","Edificios","10211002","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10211003","Muebles y Enseres","10211003","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10211004","Equipos de Computacion","10211004","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10211005","Herramientas","10211005","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10211006","Equipos de Comunicacion","10211006","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta102120","Depreciacion  Acumuladas Bienes de Uso","102120","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10212001","Depreciacion Acumulada Edificaciones","10212001","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10212002","Depreciacion Acumulada Muebles y Enseres","10212002","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
